daymd;day;mtemp;mRH;mCO2;compartment;dd_start;dd_emergence;dd_harvest1;datetime;%DateTime [OLE Automation date];comp1.Air.T [oC];comp1.Air.RH [%];comp1.Air.ppm [ppm];comp1.TCan0.Value [oC];comp1.TCan1.Value [oC];comp1.TCan2.Value [oC];comp1.TCan3.Value [oC];common.Azimuth.Value [deg];common.Elevation.Value [deg];common.Iglob.Value [W/m2];common.Meteo.PAR [umol/s];comp1.PARsensor.Above [umol/s];comp1.Lmp1.PARup [umol/s];comp1.Crop.LAI [-];comp1.Scr1.Pos [0-1];comp1.ConLmp1.PowerFac [-];comp1.Setpoints.SpHeat [oC];comp1.Setpoints.SpVent [oC];comp1.Setpoints.SpHum [%/dX];comp1.Setpoints.SpCO2 [ppm];comp1.PARsensor.Transm [%];Data.Tair.Value [?];Data.RHair.Value [?];Data.CO2air.Value [?];comp1.Can0.PARup [umol/s];comp1.Can1.PARup [umol/s];comp1.Can2.PARup [umol/s];comp1.Can3.PARup [umol/s]
19-10-2021;292;21.17847222;76.95833333;478.2743056;1;677.5337652;558.4315972;136.2482639;2021-10-19;44488.4791666667;21.2916666666667;68.1833333333333;477;20.9166666666667;20.925;20.9;20.9083333333333;180.533333333333;-8.83833333333333;22.4583333333333;43.3429166666667;234.176470588235;33.8333333333333;0.17;0;0.666666666666667;20.6666666666667;21.6666666666667;70.0708333333333;549.416666666667;43.1958333333333;21.1791666666667;76.7708333333333;477;165.875;159.625;149.708333333333;144.458333333333
20-10-2021;293;21.18368056;76.25347222;501.3194444;1;694.7174458;575.6152778;153.4319444;2021-10-20;44489.4791666667;21.2833333333333;67.9791666666667;501.333333333333;20.9375;20.9375;20.9208333333333;20.9333333333333;180.6375;-9.15375;28.5833333333333;55.4625;240.588235294118;39.4166666666667;0.17;0;0.663208333333333;20.6666666666667;21.6666666666667;70;552.041666666667;41.9333333333333;21.1791666666667;76.2916666666667;501.333333333333;170.416666666667;164;153.75;148.375
21-10-2021;294;20.53958333;70.16319444;499.46875;1;711.2570291;592.1548611;169.9715278;2021-10-21;44490.4791666667;21.2666666666667;66.8;500.291666666667;20.8416666666667;20.85;20.8541666666667;20.8708333333333;180.558333333333;-9.47291666666667;47.6666666666667;91.9977916666667;238.235294117647;51.7083333333333;0.17;0;0.597208333333333;20.6666666666667;21.6666666666667;70;556.75;39.2916666666667;20.5625;70.6541666666667;500.291666666667;168.75;162.5;152.291666666667;146.916666666667
22-10-2021;295;20.45659722;67.64236111;504.3819444;1;727.7136264;608.6114583;186.428125;2021-10-22;44491.4791666667;20.8666666666667;62.975;503.458333333333;19.975;19.975;19.9833333333333;19.9833333333333;180.570833333333;-9.79208333333333;45.1666666666667;87.3466666666667;245.117647058824;51.625;0.17;0;0.621541666666667;20.6666666666667;21.6666666666667;70;556;39.4125;20.4875;67.6458333333333;503.458333333333;173.625;167.125;156.791666666667;151.208333333333
23-10-2021;296;20.64756944;68.91319444;490.9201389;1;744.3611958;625.2590278;203.0756944;2021-10-23;44492.4791666667;20.9041666666667;62.9416666666667;491.375;19.9208333333333;19.9291666666667;19.95;19.9583333333333;180.55;-10.105;48.4583333333333;93.6533333333333;236.352941176471;52.4583333333333;0.17;0;0.586833333333333;20.6666666666667;21.6666666666667;70;558.083333333333;37.7416666666667;20.6416666666667;68.9083333333333;491.375;167.416666666667;161.083333333333;151.083333333333;145.75
24-10-2021;297;20.56076389;68.09027778;499.3888889;1;760.9219597;641.8197917;219.6364583;2021-10-24;44493.4791666667;20.7416666666667;61.3041666666667;499.291666666667;19.8416666666667;19.8625;19.8666666666667;19.875;180.6375;-10.41125;115.666666666667;223.5275;244.176470588235;101.166666666667;0.17;0;0.385416666666667;20.6708333333333;21.6708333333333;70;556;24.9416666666667;20.5666666666667;68.0916666666667;499.291666666667;172.958333333333;166.458333333333;155.916666666667;150.25
25-10-2021;298;20.96354167;73.05902778;497.4722222;1;777.8855014;658.7833333;236.6;2021-10-25;44494.4791666667;20.9958333333333;65.9083333333333;497.5;20.2666666666667;20.275;20.2791666666667;20.2916666666667;180.645833333333;-10.7291666666667;31.1666666666667;60.3100006458333;242.176470588235;40.5833333333333;0.17;0;0.663208333333333;20.6666666666667;21.6666666666667;70;552.625;42.2458333333333;20.9875;72.6541666666667;497.583333333333;171.541666666667;165.208333333333;154.958333333333;149.5
26-10-2021;299;21.21076389;73.16319444;501.4652778;1;795.0962652;675.9940972;253.8107639;2021-10-26;44495.4791666667;21.2583333333333;67.8041666666667;500.541666666667;20.9791666666667;20.9791666666667;20.975;20.9833333333333;180.5625;-11.02625;46.5416666666667;89.9266666666667;251.352941176471;52.625;0.17;0.193875;0.638916666666667;20.6666666666667;21.6666666666667;70;552.916666666667;39.8875;21.1791666666667;73.1625;500.541666666667;178.041666666667;171.458333333333;160.708333333333;155
27-10-2021;300;21.45486111;77.6875;494.2118056;1;812.5511264;693.4489583;271.265625;2021-10-27;44496.4791666667;21.3041666666667;67.5041666666667;495.166666666667;21.0875;21.1;21.1;21.1041666666667;180.616666666667;-11.33;66.7083333333333;129.10875;225.352941176471;66.5;0.17;0.558708333333333;0.482625;20.675;21.675;70;551.5;30.2;21.4625;77.7125;495.208333333333;159.625;154;143.958333333333;138.916666666667
28-10-2021;301;21.05868056;75.65972222;524.5520833;1;829.6098069;710.5076389;288.3243056;2021-10-28;44497.4791666667;20.9416666666667;63.3;521.5;20.5458333333333;20.5375;20.5416666666667;20.55;180.504166666667;-11.6291666666667;103.291666666667;199.59125;216.117647058824;92.0416666666667;0.17;0.561208333333333;0.329875;20.6666666666667;21.6666666666667;70;545.166666666667;20.5958333333333;21.0625;75.65;521.5;153.083333333333;147.625;138;133.083333333333
29-10-2021;302;21.24027778;79.20833333;515.84375;1;846.8500847;727.7479167;305.5645833;2021-10-29;44498.4791666667;21.0291666666667;64.1125;517.791666666667;20.6166666666667;20.625;20.6166666666667;20.6125;180.55;-11.9241666666667;88.0416666666667;169.958333333333;229.058823529412;82.4166666666667;0.17;0.565708333333333;0.420125;20.6666666666667;21.6666666666667;70;544.958333333333;25.4125;21.2333333333333;78.8416666666667;517.791666666667;162.25;156.458333333333;146.291666666667;141
30-10-2021;303;21.12569444;79.30902778;507.6944444;1;863.9757791;744.8736111;322.6902778;2021-10-30;44499.4791666667;21.2708333333333;66.6291666666667;508.291666666667;20.8875;20.8875;20.8708333333333;20.8708333333333;180.508333333333;-12.2220833333333;21.5416666666667;41.645125;236.235294117647;36.2083333333333;0.17;0.566416666666667;0.663166666666667;20.6666666666667;21.6666666666667;70;535.583333333333;38.1208333333333;21.125;79.5416666666667;508.333333333333;167.333333333333;161.25;151;145.75
31-10-2021;304;21.18715278;76.88888889;511.7569444;1;881.1629319;762.0607639;339.8774306;2021-10-31;44500.4791666667;21.2666666666667;66.8541666666667;511.291666666667;20.975;20.9875;20.9708333333333;20.975;180.6125;-12.5008333333333;56.375;108.88875;242.764705882353;61.75;0.17;0.57175;0.566;20.6666666666667;21.6666666666667;70;536;33.1291666666667;21.1958333333333;76.9375;511.291666666667;171.958333333333;165.833333333333;155.125;149.666666666667
1-11-2021;305;20.89027778;72.17361111;557.2256944;1;898.0532097;778.9510417;356.7677083;2021-11-01;44501.4791666667;20.8375;64.1791666666667;555.458333333333;20.4;20.4041666666667;20.4041666666667;20.4041666666667;180.7;-12.7791666666667;71.25;137.62625;237.5;70.9166666666667;0.17;0.614375;0.454875;20.5;21.5;70;522.666666666667;25.3916666666667;20.925;72.4958333333333;555.458333333333;158.333333333333;152.583333333333;142.75;137.75
2-11-2021;306;20.79965278;72.59375;636.3333333;1;914.8528625;795.7506944;373.5673611;2021-11-02;44502.4791666667;21.2166666666667;66.0916666666667;632.125;20.7083333333333;20.7041666666667;20.7041666666667;20.6958333333333;180.620833333333;-13.0683333333333;26.2916666666667;50.7242916666667;256.5;40.125;0.17;0.574375;0.663208333333333;20.6666666666667;21.6666666666667;70;547.666666666667;40.5208333333333;20.7958333333333;72.4583333333333;632.125;171;164.833333333333;154.291666666667;148.958333333333
3-11-2021;307;21.02152778;73.39583333;626.7395833;1;931.8743902;812.7722222;390.5888889;2021-11-03;44503.4791666667;21.0791666666667;66.0541666666667;627.375;20.5;20.5041666666667;20.4875;20.4791666666667;180.595833333333;-13.3366666666667;35.1666666666667;68.103875;265.0625;45.375;0.17;0.5775;0.666666666666667;20.6666666666667;21.6666666666667;70;543.166666666667;39.7166666666667;21.0041666666667;73.325;627.458333333333;176.708333333333;170.375;159.333333333333;153.791666666667
4-11-2021;308;20.984375;73.37847222;608.5451389;1;948.8587652;829.7565972;407.5732639;2021-11-04;44504.4791666667;21.0458333333333;63.5625;609.833333333333;20.4083333333333;20.3958333333333;20.3916666666667;20.4083333333333;180.5125;-13.6083333333333;43.375;83.8855416666667;260.9375;52.0833333333333;0.17;0.580375;0.6215;20.6666666666667;21.6666666666667;70;543.166666666667;36.4666666666667;21.0208333333333;73.5375;609.833333333333;173.958333333333;167.833333333333;157;151.5
5-11-2021;309;21.04270833;75.21527778;615.1909722;1;965.9014736;846.7993056;424.6159722;2021-11-05;44505.4791666667;20.9625;59.9333333333333;615.583333333333;20.2625;20.2791666666667;20.2666666666667;20.2791666666667;180.554166666667;-13.8758333333333;57.0416666666667;110.16425;255.5625;60.0833333333333;0.17;0.581291666666667;0.566;20.6666666666667;21.6666666666667;70;544.875;33;21.0375;74.9958333333333;615.583333333333;170.375;164.333333333333;153.708333333333;148.333333333333
